DATE,OPEN,HIGH,LOW,CLOSE
9/17/2012,61.4,61.95,61,61.95
9/18/2012,61.7,63.35,61.3,62.95
9/19/2012,62.9,62.9,62.5,62.65
9/20/2012,62.65,62.65,62.1,62.1
9/21/2012,62,62.1,60.6,60.9
9/24/2012,61.3,62.95,61.3,62.95
9/25/2012,62.8,63.1,62.65,63
9/26/2012,63.2,63.3,63.05,63.3
9/27/2012,63,63.85,63,63.8
9/28/2012,63.85,64.9,63.85,64.9
10/01/2012,63.6,64.75,63.6,64.55
10/02/2012,64.6,66,64.6,65.9
10/03/2012,65.75,66.6,65.75,66.25
10/04/2012,66.25,66.3,65.7,66.05
10/05/2012,66.1,66.3,65.9,65.95
10/08/2012,65.9,65.9,64.15,64.3
10/09/2012,64.5,64.5,62.9,63
10/10/2012,63,64.3,62,63.1
10/11/2012,63.15,63.85,63,63
10/12/2012,63.05,64.5,63.05,64.5
10/15/2012,64.3,64.95,64,64.75
10/16/2012,65,65,64.65,64.8
10/17/2012,65,65,64.8,64.95
10/18/2012,65.2,65.3,64.95,65
10/19/2012,65,65,63.1,63.1
10/22/2012,63.1,64.1,63.1,63.6
10/23/2012,63.6,64.1,63.6,63.75
10/24/2012,63.65,63.65,62.3,62.95
10/25/2012,62.95,63.5,62.95,63.5
10/29/2012,63.55,64.5,63.55,64.15
10/30/2012,64.3,64.9,63.8,64.05
10/31/2012,64,64,63.7,64
11/05/2012,64.5,64.65,64,64.35
11/06/2012,64.45,65.1,64.45,65
11/07/2012,65,65,64.8,65
11/08/2012,64.95,67.7,64.7,67.7
11/09/2012,67.7,69.2,66.75,68.95
11/12/2012,68.75,69.2,67.95,68
11/13/2012,68.15,68.9,67.6,68
11/14/2012,68,68.7,67.1,67.35
11/15/2012,67.45,67.75,66.8,67.75
11/16/2012,67.75,68.35,67.5,68
11/19/2012,68,68.35,67.95,68.1
11/20/2012,68.1,68.6,68.1,68.3
11/21/2012,68.3,70.2,68.25,69.2
11/22/2012,69.35,69.5,69.1,69.2
11/23/2012,69.2,69.7,69.2,69.4
11/26/2012,70,71,69.6,69.9
11/27/2012,69.9,70.05,69.9,69.9
11/28/2012,70,71.9,69.8,71.1
11/29/2012,71.1,72,70,71.45
12/03/2012,70.1,71.4,70.1,71.05
12/04/2012,71.05,72.25,71.05,72
12/05/2012,72.1,73.5,72,73.4
12/06/2012,74,77,74,76.3
