DATE,OPEN,HIGH,LOW,CLOSE
09/08/2011,53.43,53.43,52.92,53.2
09/09/2011,53.2,53.34,52.87,53.15
09/12/2011,53.15,53.15,51.52,51.9
9/13/2011,52.03,52.82,52.03,52.41
9/14/2011,52.5,52.5,51.85,52.03
9/15/2011,52.5,52.96,52.45,52.55
9/16/2011,52.69,53.34,52.69,52.96
9/19/2011,52.92,53.38,52.87,53.38
9/20/2011,53.24,53.24,51.57,52.03
9/21/2011,52.69,52.78,51.11,51.11
9/22/2011,51.01,51.01,48.78,48.92
9/23/2011,47.85,47.85,44.6,45.07
9/26/2011,45.21,45.25,42.74,42.98
9/28/2011,44.42,45.53,44.42,44.65
9/29/2011,44.14,46.18,44.14,45.44
9/30/2011,46.27,47.39,46.27,47.39
10/03/2011,46.41,46.41,45.3,45.76
10/04/2011,44.79,45.76,44.14,44.14
10/05/2011,44.65,45.34,44.23,44.28
10/06/2011,44.6,45.07,44.28,44.46
10/07/2011,46.46,47.39,45.53,47.39
10/10/2011,47.57,48.78,46.97,48.46
10/11/2011,49.25,49.8,48.88,49.2
10/12/2011,49.71,49.71,48.55,49.11
10/13/2011,49.71,49.71,48.88,49.2
10/14/2011,49.25,49.29,48.78,49.25
10/17/2011,49.48,50.59,49.48,50.55
10/18/2011,49.71,49.99,49.25,49.9
10/19/2011,49.94,50.41,49.9,50.27
10/20/2011,50.08,50.08,49.43,49.67
10/21/2011,49.67,49.67,48.13,48.13
10/24/2011,48.78,49.71,48.6,49.11
10/25/2011,49.11,49.57,48.92,49.57
10/26/2011,49.48,49.48,48.32,48.69
10/27/2011,49.06,49.76,48.92,49.67
10/28/2011,50.18,52.59,50.18,52.31
11/02/2011,50.83,51.66,50.36,51.34
11/03/2011,51.34,51.57,50.69,50.92
11/04/2011,51.11,52.69,51.11,52.5
11/08/2011,52.59,53.2,52.27,52.82
11/09/2011,53.15,53.15,51.29,52.96
11/10/2011,52.82,52.82,51.48,52.5
11/11/2011,52.5,52.87,52.41,52.41
11/14/2011,52.92,53.43,52.92,53.29
11/15/2011,53.24,53.29,53.15,53.29
11/16/2011,53.29,53.29,51.15,51.34
11/17/2011,51.34,52.03,51.34,51.48
11/18/2011,51.48,52.22,51.38,51.48
11/21/2011,51.48,51.48,51.11,51.11
11/22/2011,51.11,51.11,50.27,50.73
11/23/2011,50.46,51.01,50.46,50.73
11/24/2011,50.73,50.73,49.99,50.46
11/25/2011,50.64,51.11,50.46,51.11
11/28/2011,51.11,51.66,50.83,50.83
11/29/2011,51.2,51.38,51.11,51.15
12/01/2011,51.2,51.34,51.06,51.29
12/02/2011,51.29,51.71,51.25,51.71
12/05/2011,51.71,51.94,51.66,51.94
12/06/2011,51.66,52.5,51.66,52.5
12/07/2011,52.5,53.15,52.5,53.15
12/08/2011,53.43,54.45,53.43,54.45
12/09/2011,53.89,54.45,53.48,54.13
12/12/2011,54.45,55.19,54.45,54.64
12/13/2011,54.64,54.78,54.17,54.78
12/14/2011,54.82,54.82,54.4,54.45
12/15/2011,54.64,55.01,54.31,54.59
12/16/2011,54.68,55.01,54.36,54.45
12/19/2011,54.45,54.64,52.59,52.96
